source,target,tgt_lng
"call stack","调用栈","zh"
"priority queue","优先队列","zh"
"binary heap","二叉堆","zh"
"recursion","递归","zh"
"memoization","记忆化","zh"
"dynamic programming","动态规划","zh"
"greedy algorithm","贪心算法","zh"
"REST API","REST API","zh"
"webhook","Webhook 回调","zh"
"schema validation","模式校验","zh"
"object-relational mapping","对象关系映射","zh"
"supervised learning","监督学习","zh"
"unsupervised learning","无监督学习","zh"
"reinforcement learning","强化学习","zh"
"training set","训练集","zh"
"validation set","验证集","zh"
"test set","测试集","zh"
"feature engineering","特征工程","zh"
"target variable","目标变量","zh"
"hyperparameter","超参数","zh"
"loss function","损失函数","zh"
"optimizer","优化器","zh"
"underfitting","欠拟合","zh"
"early stopping","提前停止","zh"
"dropout","Dropout","zh"
"batch normalization","批量归一化","zh"
"precision score","精确率","zh"
"recall score","召回率","zh"
"F1 score","F1 分数","zh"
"area under the ROC curve","ROC 曲线下面积","zh"
"NumPy array","NumPy 数组","zh"
"pandas Series","pandas 序列","zh"
"pandas DataFrame","pandas 数据框","zh"
"group-by operation","分组聚合操作","zh"
"missing value","缺失值","zh"
"not a number","非数值","zh"
"view of an array","数组视图","zh"
"copy of an array","数组副本","zh"
"eager evaluation","即时求值","zh"
"lazy evaluation","惰性求值","zh"
"database index","数据库索引","zh"
"inner join","内连接","zh"
"left join","左连接","zh"
"ACID properties","ACID 特性","zh"
"optimistic locking","乐观锁","zh"
"pessimistic locking","悲观锁","zh"
"batch processing","批处理","zh"
"stream processing","流处理","zh"
"data pipeline","数据管道","zh"
"extract transform load","抽取、转换、加载","zh"
"extract load transform","抽取、加载、转换","zh"
"Git branch","Git 分支","zh"
"merge commit","合并提交","zh"
"rebase","变基","zh"
"pull request","拉取请求","zh"
"accelerated gradient descent","加速梯度下降","zh"
"feature selection","特征选择","zh"
"Boruta","Boruta 特征选择算法","zh"
"sentiment analysis","情感分析","zh"
"autoencoder","自编码器","zh"
"perceptron","感知机","zh"
"feedforward neural network","前馈神经网络","zh"
"recurrent neural network","循环神经网络","zh"
"long short-term memory","长短期记忆网络","zh"
"convolutional neural network","卷积神经网络","zh"
"generative adversarial network","生成对抗网络","zh"
"word vectorization","词向量化","zh"
"Word2Vec","Word2Vec 词向量模型","zh"
"Markov decision process","马尔可夫决策过程","zh"
"value function","价值函数","zh"
"Bellman equation","贝尔曼方程","zh"
"temporal-difference learning","时序差分学习","zh"
"deep reinforcement learning","深度强化学习","zh"
"qubit","量子比特","zh"
"quantum gate","量子门","zh"
"quantum circuit","量子线路","zh"
"Qiskit","Qiskit 量子计算框架","zh"
"experiment tracking","实验跟踪","zh"
"multivariate LSTM","多变量 LSTM","zh"
"retrieval-augmented generation","检索增强生成","zh"
"AI agent","AI 智能体","zh"
"tool calling","工具调用","zh"
"concept drift","概念漂移","zh"
"covariate shift","协变量偏移","zh"
"label shift","标签偏移","zh"
"gradient clipping","梯度裁剪","zh"
"teacher forcing","教师强制","zh"
"exposure bias","暴露偏差","zh"
"catastrophic forgetting","灾难性遗忘","zh"
"numerical overflow","数值上溢","zh"
"numerical underflow","数值下溢","zh"
"catastrophic cancellation","灾难性消去","zh"
"hashability","可哈希性","zh"
"shallow copy","浅拷贝","zh"
"deep copy","深拷贝","zh"
"referential transparency","引用透明性","zh"
"activation checkpointing","激活检查点","zh"
"copy-on-write","写时复制","zh"
"dtype promotion","数据类型提升","zh"
"reproducible build","可复现构建","zh"
"automatic mixed precision","自动混合精度","zh"
"gradient scaling","梯度缩放","zh"
"coupling","耦合","zh"
"interface","接口","zh"
"function","函数","zh"
"exception","异常","zh"
"dependency","依赖项","zh"
"factor exposure","因子暴露","zh"
"factor loading","因子载荷","zh"
"alpha","阿尔法","zh"
"beta","贝塔","zh"
"tracking error","跟踪误差","zh"
"information ratio","信息比率","zh"
"Sharpe ratio","夏普比率","zh"
"Sortino ratio","索提诺比率","zh"
"maximum drawdown","最大回撤","zh"
"value at risk","风险价值","zh"
"expected shortfall","预期损失","zh"
"backtest","回测","zh"
"look-ahead bias","前视偏差","zh"
"survivorship bias","幸存者偏差","zh"
"data snooping","数据窥探","zh"
"overfitting","过拟合","zh"
"turnover","换手率","zh"
"slippage","滑点","zh"
"transaction cost","交易成本","zh"
"market neutral","市场中性","zh"
"dollar neutral","资金中性","zh"
"rebalancing","再平衡","zh"
"out-of-sample","样本外","zh"
"walk-forward analysis","滚动前向分析","zh"
"risk-neutral measure","风险中性测度","zh"
"physical measure","真实概率测度","zh"
"equivalent martingale measure","等价鞅测度","zh"
"change of numeraire","计价基准变换","zh"
"numeraire","计价基准","zh"
"no-arbitrage pricing","无套利定价","zh"
"replicating portfolio","复制组合","zh"
"self-financing strategy","自融资策略","zh"
"complete market","完备市场","zh"
"Black-Scholes-Merton model","布莱克–斯科尔斯–默顿模型","zh"
"delta hedging","Delta 对冲","zh"
"delta","Delta","zh"
"gamma","Gamma","zh"
"vega","Vega","zh"
"theta","Theta","zh"
"rho","Rho","zh"
"implied volatility","隐含波动率","zh"
"realized volatility","已实现波动率","zh"
"local volatility","局部波动率","zh"
"stochastic volatility","随机波动率","zh"
"volatility smile","波动率微笑","zh"
"volatility skew","波动率偏斜","zh"
"Heston model","赫斯顿模型","zh"
"Monte Carlo simulation","蒙特卡洛模拟","zh"
"variance reduction","方差缩减","zh"
"antithetic variates","对偶变量","zh"
"control variates","控制变量法","zh"
"credit valuation adjustment","信用估值调整","zh"
"wrong-way risk","错向风险","zh"
"potential future exposure","潜在未来敞口","zh"
"expected exposure","期望敞口","zh"
"information coefficient","信息系数","zh"
"data leakage","数据泄漏","zh"
"purged cross-validation","剔除重叠样本的交叉验证","zh"
"embargo period","隔离期","zh"
"market impact","市场冲击","zh"
"limit order book","限价订单簿","zh"
"bid-ask spread","买卖价差","zh"
"stochastic discount factor","随机贴现因子","zh"
"market price of risk","风险的市场价格","zh"
"martingale representation theorem","鞅表示定理","zh"
"fundamental theorem of asset pricing","资产定价基本定理","zh"
"mean-variance optimization","均值–方差优化","zh"
"efficient frontier","有效前沿","zh"
"minimum variance portfolio","最小方差组合","zh"
"risk parity","风险平价","zh"
"marginal contribution to risk","边际风险贡献","zh"
"component contribution to risk","成分风险贡献","zh"
"covariance shrinkage","协方差收缩估计","zh"
"factor neutralization","因子中性化","zh"
"cross-sectional regression","横截面回归","zh"
"rank information coefficient","秩信息系数","zh"
"information coefficient information ratio","信息系数信息比率","zh"
"winsorization","缩尾处理","zh"
"z-score standardization","Z 分数标准化","zh"
"signal decay","信号衰减","zh"
"half-life","半衰期","zh"
"strategy capacity","策略容量","zh"
"profit and loss","损益","zh"
"path-dependent option","路径依赖期权","zh"
"barrier option","障碍期权","zh"
"risk reversal","风险逆转","zh"
"basis risk","基差风险","zh"
"liquidity horizon","流动性期限","zh"
"jump-to-default risk","跳跃至违约风险","zh"
"non-modellable risk factor","不可建模风险因子","zh"
"curvature risk","曲率风险","zh"
"arbitrage-free model","无套利模型","zh"
"incomplete market","不完备市场","zh"
"state price","状态价格","zh"
"state-price density","状态价格密度","zh"
"risk-neutral valuation","风险中性估值","zh"
"forward measure","远期测度","zh"
"terminal measure","终端测度","zh"
"Vasicek model","瓦西切克模型","zh"
"Cox-Ingersoll-Ross model","考克斯–英格索尔–罗斯模型","zh"
"Hull-White model","赫尔–怀特模型","zh"
"Ho-Lee model","何–李模型","zh"
"SABR model","SABR 模型","zh"
"Dupire equation","迪皮尔方程","zh"
"implied volatility surface","隐含波动率曲面","zh"
"volatility term structure","波动率期限结构","zh"
"vanna","Vanna","zh"
"volga","Volga","zh"
"charm","Charm","zh"
"Asian option","亚式期权","zh"
"lookback option","回望期权","zh"
"Bermudan option","百慕大期权","zh"
"digital option","数字期权","zh"
"Longstaff-Schwartz method","朗斯塔夫–施瓦茨方法","zh"
"historical simulation","历史模拟法","zh"
"parametric VaR","参数法风险价值","zh"
"filtered historical simulation","过滤历史模拟法","zh"
"stress testing","压力测试","zh"
"scenario analysis","情景分析","zh"
"implementation shortfall","实施差额","zh"
"execution shortfall","执行差额","zh"
"pairs trading","配对交易","zh"
"statistical arbitrage","统计套利","zh"
"forward rate agreement","远期利率协议","zh"
"interest rate cap","利率上限","zh"
"interest rate floor","利率下限","zh"
"caplet","单期利率上限期权","zh"
"floorlet","单期利率下限期权","zh"
"swaption","互换期权","zh"
"payer swaption","支付固定利率互换期权","zh"
"receiver swaption","收取固定利率互换期权","zh"
"overnight indexed swap","隔夜指数互换","zh"
"secured overnight financing rate","有担保隔夜融资利率","zh"
"discount curve","贴现曲线","zh"
"projection curve","预测曲线","zh"
"curve bootstrapping","曲线逐段构建","zh"
"day-count convention","计息天数惯例","zh"
"compounding convention","复利惯例","zh"
"accrual factor","计息年分数","zh"
"hazard rate","风险率","zh"
"survival probability","存续概率","zh"
"cumulative default probability","累计违约概率","zh"
"credit curve","信用曲线","zh"
"premium leg","保费端","zh"
"protection leg","保护端","zh"
"reduced-form credit model","简约式信用模型","zh"
"structural credit model","结构式信用模型","zh"
"Merton credit model","默顿信用模型","zh"
"credit migration","信用迁徙","zh"
"rating transition matrix","评级迁移矩阵","zh"
"Gaussian copula","高斯 Copula","zh"
"credit tranche","信用分层","zh"
"attachment point","起赔点","zh"
"detachment point","止赔点","zh"
"convenience yield","便利收益","zh"
"cost of carry","持有成本","zh"
"contango","正向市场","zh"
"backwardation","现货溢价市场","zh"
"storage cost","仓储成本","zh"
"roll yield","展期收益","zh"
"calendar spread","跨期价差","zh"
"currency pair","货币对","zh"
"base currency","基础货币","zh"
"quote currency","计价货币","zh"
"FX forward","外汇远期","zh"
"forward points","远期点数","zh"
"FX swap","外汇掉期","zh"
"cross-currency swap","交叉货币互换","zh"
"cross-currency basis","交叉货币基差","zh"
"non-deliverable forward","无本金交割远期","zh"
"quanto option","Quanto 期权","zh"
"quanto adjustment","Quanto 调整","zh"
"risk appetite","风险偏好","zh"
"risk tolerance","风险容忍度","zh"
"risk limit","风险限额","zh"
"risk culture","风险文化","zh"
"risk governance","风险治理","zh"
"three lines model","三道防线模型","zh"
"board risk committee","董事会风险委员会","zh"
"chief risk officer","首席风险官","zh"
"enterprise risk management","全面风险管理","zh"
"economic capital","经济资本","zh"
"regulatory capital","监管资本","zh"
"risk-adjusted return on capital","风险调整资本收益率","zh"
"risk-adjusted performance measure","风险调整绩效指标","zh"
"model risk","模型风险","zh"
"model validation","模型验证","zh"
"independent model validation","独立模型验证","zh"
"challenger model","挑战者模型","zh"
"benchmark model","基准模型","zh"
"backtesting exception","回测超损次数","zh"
"traffic light approach","交通灯法","zh"
"incremental value at risk","增量风险价值","zh"
"marginal value at risk","边际风险价值","zh"
"component value at risk","成分风险价值","zh"
"coherent risk measure","一致性风险度量","zh"
"subadditivity","次可加性","zh"
"exponentially weighted moving average","指数加权移动平均","zh"
"extreme value theory","极值理论","zh"
"tail index","尾指数","zh"
"peaks over threshold","超阈值法","zh"
"stressed value at risk","压力风险价值","zh"
"stressed expected shortfall","压力预期损失","zh"
"risk factor mapping","风险因子映射","zh"
"correlation risk","相关性风险","zh"
"vega risk","Vega 风险","zh"
"close-out netting","终止净额结算","zh"
"netting set","净额结算集合","zh"
"credit support annex","信用支持附件","zh"
"debt valuation adjustment","债务估值调整","zh"
"funding valuation adjustment","融资估值调整","zh"
"margin valuation adjustment","保证金融资估值调整","zh"
"expected positive exposure","预期正敞口","zh"
"expected negative exposure","预期负敞口","zh"
"margin period of risk","保证金风险期","zh"
"central counterparty","中央交易对手","zh"
"clearing member","清算会员","zh"
"default fund","违约基金","zh"
"counterparty credit risk","交易对手信用风险","zh"
"settlement risk","结算风险","zh"
"sovereign risk","主权风险","zh"
"country risk","国家风险","zh"
"transfer risk","转移风险","zh"
"credit concentration risk","信用集中度风险","zh"
"credit risk mitigation","信用风险缓释","zh"
"credit conversion factor","信用转换系数","zh"
"operational risk","操作风险","zh"
"operational resilience","操作韧性","zh"
"risk and control self-assessment","风险与控制自我评估","zh"
"key risk indicator","关键风险指标","zh"
"business continuity plan","业务连续性计划","zh"
"disaster recovery plan","灾难恢复计划","zh"
"cyber risk","网络风险","zh"
"third-party risk","第三方风险","zh"
"conduct risk","行为风险","zh"
"legal risk","法律风险","zh"
"internal fraud","内部欺诈","zh"
"external fraud","外部欺诈","zh"
"operational loss event","操作风险损失事件","zh"
"near miss","未遂事件","zh"
"important business service","重要业务服务","zh"
"impact tolerance","影响容忍度","zh"
"liquidity coverage ratio","流动性覆盖率","zh"
"high-quality liquid assets","优质流动性资产","zh"
"net stable funding ratio","净稳定资金比例","zh"
"funding liquidity risk","融资流动性风险","zh"
"market liquidity risk","市场流动性风险","zh"
"liquidity-adjusted value at risk","流动性调整风险价值","zh"
"market depth","市场深度","zh"
"market breadth","市场广度","zh"
"market resilience","市场韧性","zh"
"liquidity buffer","流动性缓冲","zh"
"survival horizon","流动性生存期","zh"
"contingency funding plan","应急融资计划","zh"
"intraday liquidity risk","日间流动性风险","zh"
"asset encumbrance","资产受限","zh"
"fund transfer pricing","资金转移定价","zh"
"deposit runoff rate","存款流失率","zh"
"maturity mismatch","期限错配","zh"
"liquidity stress testing","流动性压力测试","zh"
"state price deflator","状态价格平减因子","zh"
"opportunity set","投资机会集","zh"
"global minimum variance portfolio","全局最小方差组合","zh"
"tangency portfolio","切点组合","zh"
"capital market line","资本市场线","zh"
"security market line","证券市场线","zh"
"minimum transfer amount","最低转移金额","zh"
"initial margin","初始保证金","zh"
"variation margin","变动保证金","zh"
"ISDA master agreement","ISDA 主协议","zh"
"Black-Scholes PDE","布莱克–斯科尔斯偏微分方程","zh"
"Black formula","布莱克公式","zh"
"volatility surface","波动率曲面","zh"
"volatility arbitrage","波动率套利","zh"
"static hedging","静态对冲","zh"
"discrete hedging","离散对冲","zh"
"feedback effect","反馈效应","zh"
"dynamic asset allocation","动态资产配置","zh"
"vectorized backtesting","向量化回测","zh"
"empirical SDE","经验随机微分方程","zh"
"model-free pricing","无模型定价","zh"
"covariance matrix denoising","协方差矩阵去噪","zh"
"covariance matrix detoning","协方差矩阵去市场模态","zh"
"nested clustered optimization","嵌套聚类优化","zh"
"short-rate model","短期利率模型","zh"
"one-factor model","单因子模型","zh"
"two-factor model","双因子模型","zh"
"model calibration","模型校准","zh"
"curve fitting","曲线拟合","zh"
"Heath-Jarrow-Morton model","希思–贾罗–莫顿模型","zh"
"Brace-Gatarek-Musiela model","布雷斯–加塔雷克–穆谢拉模型","zh"
"LIBOR market model","LIBOR 市场模型","zh"
"factor reduction","因子降维","zh"
"efficiency ratio","模拟效率比","zh"
"weighted Monte Carlo","加权蒙特卡洛","zh"
"pathwise derivative method","路径导数法","zh"
"likelihood ratio method","似然比法","zh"
"Black-Cox model","布莱克–考克斯模型","zh"
"inhomogeneous Poisson process","非齐次泊松过程","zh"
"default arrival time","违约到达时刻","zh"
"risky bond","含信用风险债券","zh"
"affine intensity model","仿射强度模型","zh"
"upfront premium","前端保费","zh"
"accrual on default","违约应计保费","zh"
"compound correlation","复合相关性","zh"
"base correlation","基础相关性","zh"
"rank correlation","秩相关","zh"
"capital valuation adjustment","资本估值调整","zh"
"sensitivities-based approach","敏感度法","zh"
"multifactor Vasicek model","多因子 Vasicek 模型","zh"
"stressed correlation matrix","压力相关矩阵","zh"
"dynamic portfolio optimization","动态投资组合优化","zh"
"Kalman filter","卡尔曼滤波","zh"
"risk budgeting","风险预算","zh"
"over-optimization","过度优化","zh"
"volatility risk premium","波动率风险溢价","zh"
"gamma trading","Gamma 交易","zh"
"numeraire portfolio","计价基准组合","zh"
"risk-neutral density","风险中性密度","zh"
"Breeden-Litzenberger formula","布里登–利岑伯格公式","zh"
"Feller condition","费勒条件","zh"
"triple barrier method","三重障碍法","zh"
"deflated Sharpe ratio","折减夏普比率","zh"
"probability of backtest overfitting","回测过拟合概率","zh"
"risk factor eligibility test","风险因子合格性检验","zh"
"profit and loss attribution test","损益归因检验","zh"
"hypothetical profit and loss","假设损益","zh"
"risk-theoretical profit and loss","风险理论损益","zh"
"SVI parameterization","SVI 参数化","zh"
"sticky-strike rule","固定行权价规则","zh"
"sticky-delta rule","固定 Delta 规则","zh"
"variance swap","方差互换","zh"
"static arbitrage","静态套利","zh"
"statistical power","统计功效","zh"
"null hypothesis","原假设","zh"
"alternative hypothesis","备择假设","zh"
"p-value","p 值","zh"
"type I error","第一类错误","zh"
"type II error","第二类错误","zh"
"unbiased estimator","无偏估计量","zh"
"consistent estimator","一致估计量","zh"
"confidence interval","置信区间","zh"
"maximum likelihood estimation","最大似然估计","zh"
"ordinary least squares","普通最小二乘法","zh"
"heteroskedasticity","异方差性","zh"
"multicollinearity","多重共线性","zh"
"autocorrelation","自相关","zh"
"stationary process","平稳过程","zh"
"unit root","单位根","zh"
"cointegration","协整","zh"
"central limit theorem","中心极限定理","zh"
"law of large numbers","大数定律","zh"
"Bayesian posterior","贝叶斯后验分布","zh"
"prediction interval","预测区间","zh"
"credible interval","可信区间","zh"
"estimator","估计量","zh"
"estimate","估计值","zh"
"standard error","标准误","zh"
"standard deviation","标准差","zh"
"bias","偏差","zh"
"likelihood","似然","zh"
"log-likelihood","对数似然","zh"
"score function","得分函数","zh"
"Fisher information","费舍尔信息","zh"
"sufficient statistic","充分统计量","zh"
"identifiability","可识别性","zh"
"bootstrap","自助法","zh"
"jackknife","刀切法","zh"
"cross-validation","交叉验证","zh"
"multiple testing","多重检验","zh"
"false discovery rate","错误发现率","zh"
"effect size","效应量","zh"
"statistical significance","统计显著性","zh"
"residual","残差","zh"
"error term","误差项","zh"
"conditional expectation","条件期望","zh"
"covariance matrix","协方差矩阵","zh"
"heavy-tailed distribution","重尾分布","zh"
"skewness","偏度","zh"
"excess kurtosis","超额峰度","zh"
"weak stationarity","弱平稳性","zh"
"strict stationarity","严格平稳性","zh"
"generalized autoregressive conditional heteroskedasticity","广义自回归条件异方差","zh"
"principal component analysis","主成分分析","zh"
"Markov chain Monte Carlo","马尔可夫链蒙特卡洛","zh"
"regularization","正则化","zh"
"random variable","随机变量","zh"
"probability mass function","概率质量函数","zh"
"probability density function","概率密度函数","zh"
"cumulative distribution function","累积分布函数","zh"
"independent and identically distributed","独立同分布","zh"
"conditional distribution","条件分布","zh"
"joint distribution","联合分布","zh"
"marginal distribution","边际分布","zh"
"correlation coefficient","相关系数","zh"
"sampling distribution","抽样分布","zh"
"degrees of freedom","自由度","zh"
"likelihood ratio test","似然比检验","zh"
"Wald test","沃尔德检验","zh"
"Lagrange multiplier test","拉格朗日乘子检验","zh"
"heteroskedasticity-consistent standard error","异方差稳健标准误","zh"
"cluster-robust standard error","聚类稳健标准误","zh"
"Newey-West standard error","纽维–韦斯特标准误","zh"
"maximum a posteriori estimation","最大后验估计","zh"
"posterior predictive distribution","后验预测分布","zh"
"Bayes factor","贝叶斯因子","zh"
"Granger causality","格兰杰因果关系","zh"
"impulse response function","脉冲响应函数","zh"
"variance decomposition","方差分解","zh"
"descriptive statistics","描述性统计","zh"
"inferential statistics","推断统计","zh"
"sample mean","样本均值","zh"
"sample variance","样本方差","zh"
"quantile","分位数","zh"
"percentile","百分位数","zh"
"raw moment","原点矩","zh"
"central moment","中心矩","zh"
"Bernoulli distribution","伯努利分布","zh"
"binomial distribution","二项分布","zh"
"Poisson distribution","泊松分布","zh"
"normal distribution","正态分布","zh"
"lognormal distribution","对数正态分布","zh"
"Student's t-distribution","学生 t 分布","zh"
"chi-squared distribution","卡方分布","zh"
"F-distribution","F 分布","zh"
"Student's t-test","学生 t 检验","zh"
"paired t-test","配对 t 检验","zh"
"chi-squared test","卡方检验","zh"
"analysis of variance","方差分析","zh"
"linear regression","线性回归","zh"
"logistic regression","逻辑回归","zh"
"probit regression","Probit 回归","zh"
"generalized linear model","广义线性模型","zh"
"coefficient of determination","决定系数","zh"
"adjusted R-squared","调整决定系数","zh"
"mean squared error","均方误差","zh"
"root mean squared error","均方根误差","zh"
"mean absolute error","平均绝对误差","zh"
"Akaike information criterion","赤池信息准则","zh"
"Bayesian information criterion","贝叶斯信息准则","zh"
"autocorrelation function","自相关函数","zh"
"partial autocorrelation function","偏自相关函数","zh"
"autoregressive moving-average model","自回归移动平均模型","zh"
"autoregressive integrated moving-average model","差分整合移动平均自回归模型","zh"
"random walk","随机游走","zh"
"white noise","白噪声","zh"
"ergodicity","遍历性","zh"
"weak instrument","弱工具变量","zh"
"overidentification test","过度识别检验","zh"
"Hausman test","豪斯曼检验","zh"
"kernel density estimation","核密度估计","zh"
"quantile regression","分位数回归","zh"
"conditional variance","条件方差","zh"
"autocovariance function","自协方差函数","zh"
"martingale difference sequence","鞅差序列","zh"
"Breusch-Pagan test","布罗伊施–帕甘检验","zh"
"White test","怀特检验","zh"
"Durbin-Watson statistic","德宾–沃森统计量","zh"
"Ljung-Box test","Ljung–Box 检验","zh"
"augmented Dickey-Fuller test","增广迪基–富勒检验","zh"
"KPSS test","KPSS 检验","zh"
"Engle-Granger test","恩格尔–格兰杰协整检验","zh"
"Johansen test","约翰森协整检验","zh"
"error correction model","误差修正模型","zh"
"vector error correction model","向量误差修正模型","zh"
"autoregressive conditional heteroskedasticity model","自回归条件异方差模型","zh"
"exponential GARCH model","指数 GARCH 模型","zh"
"GJR-GARCH model","GJR–GARCH 模型","zh"
"volatility clustering","波动率聚集","zh"
"leverage effect","杠杆效应","zh"
"long memory","长记忆","zh"
"fractional differencing","分数阶差分","zh"
"structural break","结构突变","zh"
"Chow test","邹氏检验","zh"
"change-point detection","变点检测","zh"
"rolling window","滚动窗口","zh"
"expanding window","扩展窗口","zh"
"influential observation","强影响观测","zh"
"leverage point","高杠杆点","zh"
"Cook's distance","库克距离","zh"
"robust regression","稳健回归","zh"
"nonparametric method","非参数方法","zh"
"permutation test","置换检验","zh"
"bootstrap confidence interval","自助法置信区间","zh"
"stationarity","平稳性","zh"
"identification scheme","识别方案","zh"
"stylized fact","典型事实","zh"
"empirical risk minimization","经验风险最小化","zh"
"bias-variance tradeoff","偏差–方差权衡","zh"
"probabilistic inference","概率推断","zh"
"Gaussian process","高斯过程","zh"
"lasso regression","Lasso 回归","zh"
"ridge regression","岭回归","zh"
"elastic net","弹性网","zh"
"softmax regression","Softmax 回归","zh"
"k-nearest neighbors","k 近邻算法","zh"
"naive Bayes classifier","朴素贝叶斯分类器","zh"
"support vector machine","支持向量机","zh"
"classification and regression tree","分类与回归树","zh"
"Gini impurity","基尼不纯度","zh"
"bagging","装袋法","zh"
"random forest","随机森林","zh"
"boosting","提升法","zh"
"gradient boosted regression tree","梯度提升回归树","zh"
"AdaBoost","自适应提升","zh"
"class imbalance","类别不平衡","zh"
"k-means clustering","k 均值聚类","zh"
"self-organizing map","自组织映射","zh"
"hierarchical agglomerative clustering","层次凝聚聚类","zh"
"curse of dimensionality","维数灾难","zh"
"t-distributed stochastic neighbor embedding","t 分布随机邻域嵌入","zh"
"uniform manifold approximation and projection","统一流形近似与投影","zh"
"probability integral transform","概率积分变换","zh"
"posterior predictive check","后验预测检验","zh"
"effective sample size","有效样本量","zh"
"Hamiltonian Monte Carlo","哈密顿蒙特卡洛","zh"
"multiple imputation","多重插补","zh"
"missing at random","随机缺失","zh"
"missing not at random","非随机缺失","zh"
"missing completely at random","完全随机缺失","zh"
"false positive rate","假阳性率","zh"
"double machine learning","双重机器学习","zh"
"cross-fitting","交叉拟合","zh"
"family-wise error rate","族错误率","zh"
"Holm correction","霍尔姆校正","zh"
"Benjamini-Hochberg procedure","本杰明尼–霍赫贝格程序","zh"
"practical significance","实际意义","zh"
"conformal prediction","保形预测","zh"
"marginal coverage","边际覆盖率","zh"
"simultaneous confidence band","同时置信带","zh"
"sandwich estimator","三明治估计量","zh"
"profile likelihood","剖面似然","zh"
"finite-sample bias","有限样本偏误","zh"
"out-of-sample error","样本外误差","zh"
